word,articles,translation.en,level
Schlüssel,der,key,100
Schreibtisch,der,desk,100
Unternehmung,die,"undertaking, venture",100
Vereinbarung,die,agreement,100
Handlung,die,"action, plot",100
Ferne,die,distance,101
Café,das,"café, coffee house",101
Erzählung,die,"narration, story",101
Wahrnehmung,die,perception,101
Gedicht,das,poem,101
Äußerung,die,comment,101
Angestellte,der/die,employee,101
Datei,die,data file,101
Begegnung,die,"encounter, meeting",101
Dienstleistung,die,service,101
Vielzahl,die,multitude,102
Träger,der,"holder, responsible body",102
Tonne,die,"ton, barrel",102
Trend,der,trend,102
Kanton,der,"canton (Switzerland), province",102
Keller,der,"cellar, basement",102
Gründung,die,foundation,102
Verwandte,der/die,relative,102
Operation,die,operation,102
Qualifikation,die,qualification,102
Konto,das,account,102
Variante,die,"variant, variation",102
Vielfalt,die,diversity,102
Sammlung,die,collection,102
Aufwendungen,die,expenditure,103
Berechnung,die,calculation,103
Zahlung,die,payment,103
Bestand,der,"continuation, stock, supply",103
Arbeiter,der,worker,103
Entwurf,der,"sketch, design, draft",103
Bauch,der,belly,103
Aufwand,der,"expense, effort",103
Entwicklungsland,das,developing country,103
Kern,der,"seed, core, nucleus",104
Hose,die,"trousers, pants",104
Impuls,der,"impulse, stimulus",104
Finanzierung,die,financing,104
Kapital,das,capital (economics),104
Fachhochschule,die,technical college (of higher education),104
Fernseher,der,television set,104
Motor,der,"motor, engine",104
Rang,der,"standing, status",104
Zahn,der,tooth,105
Republik,die,republic,105
Salz,das,salt,105
Wahlkampf,der,election campaign,105
Schilling,der,shilling (former unit of Austrian currency),105
Wolke,die,cloud,105
Behinderung,die,"obstruction, handicap",105
Stil,der,style,105
Regisseur,der,(film) director,105
Anstrengung,die,effort,105
Vermittlung,die,"negotiation, placement (not Verhandlung)",105
Kooperation,die,cooperation,106
Einwohner,der,inhabitant,106
Bord,der,board,106
Symbol,das,symbol,106
Trennung,die,separation,106
Eingriff,der,"intervention, interference",106
Dichter,der,"writer, poet",106
Fan,der,"fan, supporter",106
Hütte,die,"hut, cabin",106
Stasi,die,state security service,106
Täter,der,"culprit, perpetrator",106
Übertragung,die,"transmission, broadcast",106
Handy,das,mobile phone,106
Tour,die,"tour, trip",106
Berücksichtigung,die,consideration,106
Verfassung,die,constitution,107
Architekt,der,architect,107
Aufmerksamkeit,die,attention,107
Beschluss,der,"decision, resolution",107
Absicht,die,intention,107
Zeitschrift,die,"magazine, journal",107
Griff,der,"handle, grip, grasp",108
Feind,der,enemy,108
Geschlecht,das,"sex, gender",108
Erweiterung,die,"expansion, extension",108
Flüchtling,der,refugee,108
Bindung,die,"relationship, attachment",108
Business,das,business,108
Ehegatte,der,husband,108
Gläubiger,der,"creditor, believer",108
Halt,der,"stop, hold",108
Einschätzung,die,"opinion, assessment, evaluation",108
Bibel,die,bible,108
Entstehung,die,origin,108
Gewissen,das,conscience,108
Elektron,das,electron,108
Flucht,die,"flight, escape",108
Börse,die,stock market,108
Marketing,das,marketing,109
Nebenwirkung,die,side effect,109
Kindergarten,der,"kindergarten, nursery school",109
Infektion,die,infection,109
Orchester,das,orchestra,109
Mantel,der,coat,109
Nationalsozialist,der,"National Socialist, Nazi",109
Kontinent,der,continent,109
Klima,das,climate,109
Hemd,das,shirt,109
Mut,der,courage,109
Paket,das,"parcel, package",109
Kündigung,die,"termination, (notice of) dismissal",109
Oper,die,opera,109
Vorgehen,das,action,110
Übergang,der,"crossing, transition",110
Ressource,die,resource,110
Scheibe,die,"disc, slice, (glass) pane",110
Vorbild,das,"model, example (not Vorlage)",110
Stille,die,"silence, peace",110
These,die,thesis,110
Transport,der,transportation,110
Widerspruch,der,"contradiction, dissent",110
Revolution,die,revolution,110
Richtlinie,die,guideline,110
Stress,der,stress,110
Rückkehr,die,return,110
Distanz,die,distance,111
Aufenthalt,der,"stay, residence",111
Besitz,der,"property, possession",111
Alkohol,der,alcohol,111
Ball,der,ball,111
Wüste,die,desert,111
Frist,die,"time period, deadline",111
Aussicht,die,"prospect, view",111
Ei,das,egg,111
Bemerkung,die,"remark, comment",111
Anerkennung,die,recognition,111
Chemie,die,chemistry,111
Presse,die,press,112
Höhepunkt,der,"hight point, peak",112
Kreuz,das,cross,112
Geschenk,das,gift,112
Horizont,der,horizon,112
Notwendigkeit,die,necessity,112
Gestaltung,die,"design, organisation",112
Heim,das,home,112
Konferenz,die,conference,112
Organ,das,organ,112
Rechtsprechung,die,jurisdiction,113
Zeile,die,line,113
Übung,die,"exercise, practice",113
Ring,der,ring,113
Regal,das,shelf,113
Vortrag,der,lecture (not Vorlesung),113
Gehalt,der/das,"meaning, contents; salary",114
Eingang,der,entrance,114
Freundschaft,die,friendship,114
Ferien,die,"holidays, vacation",114
Fragestellung,die,problem,114
Erscheinung,die,"phenomen, appearance",114
Geheimnis,das,secret,114
Flug,der,flight,114
Besitzer,der,owner,114
Ausführung,die,"implentation, type",114
Center,das,centre,114
Frühstück,das,breakfast,114
Miete,die,rent,115
Phantasie,die,"imagination, fantasy",115
Hut,die/der,care; hat,115
Klage,die,"complaint, lawsuit",115
Protein,das,protein,115
Geräusch,das,"sound, noise",115
Geschmack,der,taste,115
Pass,der,"pass, passport",115
Öl,das,oil,115
Gold,das,gold,115
Medikament,das,"medicine, drug",115
Lehrerin,die,teacher,115
Klinik,die,"clinic, hospital",115
Interpretation,die,interpretation,115
Hafen,der,harbour,115
Prognose,die,prognosis,115
Marke,die,"brand, stamp",115
Vorgabe,die,guideline,116
Schreck,der,"fright, shock",116
Abhängigkeit,die,dependence,116
Weihnachten,das,Christmas,116
Turm,der,tower,116
Serie,die,series,116
Protokoll,das,"protocol, minutes, record",116
Wende,die,"change, turn, turnaround",116
Tee,der,tea,116
Überzeugung,die,conviction,116
Dialog,der,dialogue,117
Arbeitsmarkt,der,labour market,117
Ärger,der,"annoyance, trouble",117
Betreuung,die,care,117
Bombe,die,bomb,117
Austausch,der,exchange,117
Hitze,die,heat,118
Gen,das,gene,118
Maler,der,painter,118
E-Mail,die,e-mail,118
Gas,das,gas,118
Leib,der,body,118
Entschuldigung,die,"apology, excuse",118
Konzentration,die,concentration,118
Erhöhung,die,increase,118
Kindheit,die,childhood,118
Klavier,das,piano,118
Pilot,der,pilot,119
Resultat,das,result,119
Stock,der,"stick, floor (of building)",119
Milch,die,milk,119
Riese,der,giant,119
Übersetzer,der,translator,119
Umfrage,die,survey,119
Strafe,die,punishment,119
Ufer,das,"shore, bank",119
Menschheit,die,humanity,119
Mord,der,murder,119
Großmutter,die,grandmother,120
Gesichtspunkt,der,point of view,120
Dutzend,das,dozen,120
Ernährung,die,"food, diet",120
Baby,das,baby,120
Differenz,die,difference,120
Dunkelheit,die,darkness (long form),120
Eis,das,"ice, ice cream",120
City,die,city centre,120
Empfang,der,reception,120
Empfänger,der,recipient,120
Franzose,der,"Frenchman, French",120
Hochzeit,die,wedding,120
Herkunft,die,origin,120
Onkel,der,uncle,121
Konkurrent,der,competitor,121
Potenzial,das,potential,121
Muster,das,"pattern, model, sample",121
Protest,der,protest,121
Reiz,der,"stimulus, appeal",121
Hunger,der,hunger,121
Note,die,"note, grade",121
Last,die,"load, burden",121
Lebensjahr,das,year (of one's life),121
Mischung,die,mixture,121
Sachverhalt,der,facts,121
Medium,das,medium,121
Nachfolger,der,successor,121
Konjunktur,die,economic situation,121
Rohstoff,der,raw material,121
Sicherung,die,"securing, protection, fuse",122
Verarbeitung,die,processing,122
Turnier,das,tournament,122
Schuss,der,shot,122
Verteilung,die,distribution,122
Übernahme,die,takeover,122
Veröffentlichung,die,publication,122
Witz,der,joke,122
Sieger,der,winner,122
Taxi,das,taxi,122
Wiedervereinigung,die,reunification,122
Abschied,der,"departure, parting",122
Strahlung,die,radiation,122
Statistik,die,statistics,122
Bewerber,der,applicant,123
Benutzung,die,use,123
Ertrag,der,"yield, earnings",123
Flur,der,"hall, corridor",123
Herstellung,die,production,123
Held,der,hero,123
Defizit,das,deficit,123
Format,das,format,123
Beurteilung,die,judgement,123
Einschränkung,die,restriction,123
Christ,der,Christian,123
Küste,die,coast,124
Kleidung,die,clothes,124
Kneipe,die,"pub, bar",124
Kette,die,chain,124
Messung,die,"measuring, measurement",124
Kammer,die,(small) room,124
Messer,das,knife,124
Kaiser,der,emperor,124
Motto,das,motto,124
Kritiker,der,critic,124
Japanisch,das,Japanese (language),124
Moslem,der,Muslim,124
Nutzer,der,user,124
Top,das,top,125
Saal,der,hall,125
Quadratmeter,der,square metre,125
Schwäche,die,weakness,125
Passagier,der,passenger,125
Premiere,die,opening night,125
Verbreitung,die,spread,125
Probe,die,"sample, test, rehearsal",125
Tuch,das,cloth,125
Überraschung,die,surprise,125
Tennis,das,tennis,125
Sektor,der,sector,125
Symptom,das,symptom,125
Sprung,der,jump,125
Übersetzung,die,translation,125
Zelt,das,tent,126
Wiese,die,meadow,126
Wärme,die,warmth,126
Auflösung,die,"dissolving, breaking up",126
Anhänger,der,"supporter, trailer (auto)",126
Werbung,die,advertising,126
Vorlage,die,"draft, model (not Vorbild)",126
Aufklärung,die,"enlightenment, solution",126
Anzeige,die,"display, adverisement",126
Virus,das,virus,126
Vorhaben,das,"plan, project",126
Einigung,die,agreement,127
Einsicht,die,"view, insight (not Einblick)",127
Bündnis,das,alliance,127
Dialekt,der,dialect,127
Bube,der,boy,127
Gleichung,die,equation,127
Geste,die,gesture,127
Durchführung,die,carrying out,127
Bestellung,die,"order, reservation",127
Gedächtnis,das,memory,127
Burg,die,castle,127
Gefängnis,das,prison,127
Mitteilung,die,"communication, announcement",128
Meldung,die,report,128
Nahrung,die,"nourishment, food",128
Infrastruktur,die,infrastructure,128
Schein,der,"light, appearance, certificate",128
Philosophie,die,philosophy,128
Schnitt,der,cut,128
Offizier,der,officer,128
Nebel,der,fog,128
Mission,die,mission,128
Oma,die,grandma,128
Katalog,der,catalogue,128
Schnittstelle,die,interface,128
Sehnsucht,die,longing,128
Schulden,die,"liabilities, debt",128
Herrschaft,die,"power, reign",128
Realisierung,die,"realisation, implementation",128
Stadion,das,stadium,129
Tipp,der,"tip, hint",129
Wurzel,die,root,129
Wunde,die,wound,129
Skandal,der,scandal,129
Wiedersehen,das,reunion,129
Zeugnis,das,"report, testimonial",129
Zeuge,der,witness,129
Bundesliga,die,"(sport) bundesliga, national division",130
Befehl,der,"command, order",130
Bereitschaft,die,willingness,130
Bogen,der,"bow, arc, sheet",130
Ehre,die,honour,130
Anpassung,die,"adjustment, adaptation",130
Anblick,der,sight,130
Arbeitsamt,das,employment office,130
Droge,die,drug,130
Beschwerde,die,complaint,130
Anliegen,das,request,130
Eigentum,das,"property, possession",130
Anstieg,der,"rise, increase",130
Formulierung,die,formulation,131
Gelände,das,"ground, site",131
Geliebte,der/die,lover,131
Einzelfall,der,individual case,131
Inszenierung,die,"production, staging",131
Feststellung,die,"observation, remark",131
Kiste,die,"box, crate",131
Knochen,der,bone,131
Geschwister,die,siblings,131
Kapitän,der,captain,131
Gramm,das,gram,131
Erreger,der,"(disease) agent, virus, germ",131
Kontext,der,context,131
Epoche,die,epoch,131
Show,die,show,132
Mörder,der,murderer,132
Mode,die,fashion,132
Lohn,der,"wage, pay, reward",132
Magen,der,stomach,132
Stiftung,die,"foundation, institute, donation",132
Kunstwerk,das,work of art,132
Öffnung,die,"opening, hole",132
Reflexion,die,reflection,132
Lastkraftwagen (LKW),der,truck,132
Rente,die,pension,132
Lebewesen,das,living being,132
Rathaus,das,town hall,132
Partie,die,game,132
Zone,die,zone,133
Wechselwirkung,die,interaction,133
Zins,der,(bank) interest,133
Version,die,version,133
Unterscheidung,die,"differentiation, distinction",133
Abbau,der,"reduction, dismantling, mining",133
Agentur,die,agency,133
Akademie,die,academy,133
Teller,der,plate,133
Wähler,der,voter,133
Zettel,der,"piece of paper, note",133
Anfrage,die,"inquiry, request",133
Dokument,das,document,134
Aufführung,die,performance,134
Buchstabe,der,letter (of the alphabet),134
Ausbau,der,"extension, consolidation",134
Einzelheit,die,detail,134
Auflage,die,"edition, condition, plating",134
Bär,der,bear,134
Bedenken,das,"concern, doubt",134
Fusion,die,"fusion, merger",135
Gleichgewicht,das,balance,135
Kurve,die,curve,135
Labor,das,laboratory,135
Landkreis,der,district,135
Finanzminister,der,finance minister,135
Geruch,der,smell,135
Führer,der,"leader, guide",135
Erfüllung,die,fulfilment,135
Kollegin,die,colleague,135
Komponist,der,composer,135
Investor,der,investor,135
Kerl,der,"fellow, bloke",135
Profi,der,"pro, professional",136
Märchen,das,fairy tale,136
Pflege,die,care,136
Regime,das,regime,136
Plattform,die,platform,136
Möbel,das,(piece of) furniture,136
Mittelalter,das,Middle Ages,136
Rock,der,1) skirt; 2) rock music,136
Posten,der,"post, position",136
Ofen,der,"oven, stove",136
Schrank,der,"cabinet, wardrobe",136
Nerv,das,nerve,136
Rücktritt,der,resignation,136
Moderne,die,modern age,136
Vorhang,der,curtain,137
Winkel,der,"angle, corner",137
Unsicherheit,die,uncertainty,137
Status,der,status,137
Topf,der,pot,137
Tanz,der,dance,137
Zitat,das,"quotation, quote",137
Sekretärin,die,secretary,137
Staub,der,dust,137
Sportler,der,athlete,137
Solidarität,die,solidarity,137
Stabilität,die,stability,137
Überblick,der,overview (not Übersicht),137
Abenteuer,das,adventure,138
Allianz,die,alliance,138
Abgrenzung,die,"boundary, disassociation",138
Begeisterung,die,enthusiasm,138
Akteur,der,"player, actor",138
Ausgleich,der,"balancing, compensation, change",138
Armut,die,poverty,138
Akt,der,act,138
Bezirk,der,district,138
Eröffnung,die,opening,139
Empfehlung,die,recommendation,139
Chinesisch,das,Chinese (language),139
Durchmesser,der,diameter,139
Diagnose,die,diagnosis,139
Einladung,die,invitation,139
Fels,der,"rock, cliff",139
Felsen,der,"rock, cliff",139
Dunkel,das,darkness (short form),139
Großstadt,die,large city/town,140
Hügel,der,hill,140
Hang,der,"slope, inclination",140
Fülle,die,abundance,140
Gebirge,das,"mountains, mountain range",140
Flüssigkeit,die,liquid,140
Gras,das,grass,140
Geschäftsjahr,das,financial year,140
Ingenieur,der,engineer,140
Fräulein,das,"young lady, miss",140
Kongress,der,"congress, convention",140
Friedhof,der,cemetery,140
Front,die,front,140
Orientierung,die,orientation,141
Stolz,der,pride,141
Teilnahme,die,participation,141
Nachweis,der,"proof, evidence, certificate",141
Senat,der,senate,141
Muskel,der,muscle,141
Rhythmus,der,rhythm,141
Steuerung,die,"control, steering",141
Polnisch,das,Polish (language),141
Rücksicht,die,consideration,141
Personenkraftwagen (PKW),der,"car, auto",141
Vorsicht,die,caution,142
Unterlagen,die,documents,142
Vertretung,die,"replacement, substitute",142
Wahrscheinlichkeit,die,probability,142
Vereinigung,die,"organization, association, unification",142
Universum,das,universe,142
Unterhaltung,die,"entertainment, conversation",142
Wange,die,cheek,142
Volkshochschule,die,adult education centre,142
Anordnung,die,order,143
Abstimmung,die,"vote, coordination",143
Ablehnung,die,"refusal, rejection",143
Zeichnung,die,drawing,143
Zwiebel,die,"onion, bulb",143
Zunahme,die,increase,143
Aufsatz,der,essay,143
Anregung,die,"stimulus, idea",143
Werkzeug,das,tool,143
Betrachter,der,observer,144
Backofen,der,oven,144
Befund,der,results,144
Betriebssystem,das,operating system,144
Beobachter,der,observer,144
Bildschirm,der,"screen, monitor",144
Brille,die,glasses,144
Datenverarbeitung,die,data processing,144
Bemühung,die,effort,144
Bakterie,die,bacterium,144
Blüte,die,blossom,144
Berater,der,"advisor, consultant",144
Ensemble,das,ensemble,145
Enttäuschung,die,disappointment,145
Faust,die,fist,145
Eintragung,die,"entry, registration",145
Festival,das,festival (not Fest),145
Gemüse,das,vegetables,145
Galerie,die,gallery,145
Eigentümer,der,owner,145
Lokal,das,"pub, bar",146
Lärm,der,noise,146
Liter,der,litre,146
Jazz,der,jazz,146
Höhle,die,cave,146
Hass,der,hatred,146
Innenstadt,die,"town centre, downtown",146
Konsument,der,consumer,146
Großvater,der,grandfather,146
Kohle,die,coal,146
Genehmigung,die,"approval, permit, permission",146
Kloster,das,"monastery, convent, cloister",146
Grundschule,die,primary school,146
Maßstab,der,"scale, yardstick, standard",147
Münze,die,coin,147
Praktikum,das,internship,147
Stamm,der,"trunk, stem, tribe",147
Sportart,die,"(type of) sport, discipline",147
Schuldner,der,debtor,147
Rückgang,der,"fall, decline",147
Netzwerk,das,network,147
Malerei,die,painting,147
Sack,der,sack,147
Materie,die,matter,147
Überprüfung,die,"screening, check, inspection",148
Zunge,die,tongue,148
Versammlung,die,"meeting, gathering, assembly",148
Streifen,der,"stripe, strip",148
Vermutung,die,"assumption, presumption",148
Tasse,die,cup,148
Teppich,der,carpet,148
Unsinn,der,nonsense,148
Wirtschaftspolitik,die,economic policy,148
Wäsche,die,"washing, laundry",148
Verbot,das,"ban, prohibition",148
Zeug,das,stuff,148
Werkstatt,die,"workshop, garage",148
Teufel,der,devil,148
Anweisung,die,instruction,149
Architektur,die,architecture,149
Antibiotikum,das,antibiotic,149
Ausgang,der,"exit, outcome, starting point",149
Ausflug,der,"outing, trip",149
Aufstieg,der,"climb, rise",149
Atom,das,atom,149
Ausstattung,die,"equipment, provision, furnishings",149
Anzug,der,suit,149
Bayer,der,Bavarian,149
Zwang,der,"force, pressure, compulsion",149
Biologie,die,biology,150
Besonderheit,die,"characteristic, specific feature",150
Entdeckung,die,discovery,150
Dirigent,der,(musical) conductor,150
Butter,die,butter,150
Breite,die,width,150
Betracht,der,consideration,150
Erfindung,die,invention,150
Bearbeitung,die,"editing, working, handling",150
Differenzierung,die,differentiation,150
Champion,der,champion,150
Ersatz,der,"replacement, compensation",150
Fieber,das,fever,151
Geheimdienst,der,secret service,151
Grenzwert,der,"limiting value, limit",151
Gepäck,das,luggage,151
Gesetzgeber,der,"legislator, legislature",151
Handwerk,das,"craft, trade (not Handel)",151
Helfer,der,"helper, accomplice",151
Feuerwehr,die,fire brigade,151
Gebühr,die,fee,151
Gerücht,das,rumour,151
Generalsekretär,der,Secretary-General,151
Gliederung,die,"structure, organization",151
Grab,das,grave,151
Fluggesellschaft,die,airline,151
Heft,das,notebook,151
Kompromiss,der,compromise,152
Leidenschaft,die,passion,152
Kuh,die,cow,152
Lieferung,die,delivery,152
Leiche,die,corpse,152
Intelligenz,die,intelligence,152
Kartoffel,die,potato,152
Konstruktion,die,"construction, design",152
Kreislauf,der,circulation,152
Kugel,die,"ball, sphere, bullet",152
Klang,der,"sound, tone",152
Leistungsfähigkeit,die,"productivity, power",152
Liga,die,league,152
Königin,die,queen,152
Jäger,der,hunter,152
Käse,der,cheese,152
Problematik,die,"problematic nature, problems",153
Nachwuchs,der,"offspring, new generation",153
Party,die,party,153
Schwangerschaft,die,pregnancy,153
Milligramm,das,milligram,153
Parteitag,der,party conference/convention,153
Schauspielerin,die,actress,153
Planet,der,planet,153
Olympia,das,Olympics,153
Skala,die,"scale, dial, range",153
Salon,der,"salon, drawing room",153
Schweiß,der,sweat,153
Nacken,der,neck,153
Rezession,die,recession,153
Palästinenser,der,Palestinian,153
Priester,der,priest,153
Tagebuch,das,diary,154
Tafel,die,"board, table",154
Talent,das,talent,154
Spektrum,das,spectrum,154
Unterschrift,die,signature,154
Unruhe,die,"restlessness, agitation",154
Vergnügen,das,pleasure,154
Ursprung,der,origin,154
Tempo,das,"pace, speed",154
Spalte,die,"fissure, cleft, column",154
Verbrechen,das,crime,154
Steckdose,die,"socket, electrical outlet",154
Anwesenheit,die,presence,155
Zusammensetzung,die,composition,155
Zerstörung,die,destruction,155
Abschreibung,die,"deduction, depreciation",155
Villa,die,villa,155
Aufregung,die,excitement,155
Zinssatz,der,interest rate,155
Wohnzimmer,das,living room,155
Vermieter,der,landlord,155
Achse,die,"axle, axis",155
Zulassung,die,"admission, licence",155
Verhaltensweise,die,behaviour,155
Vormittag,der,morning,155
Verordnung,die,"prescription, order",155
Vernunft,die,reason,155
Chefin,die,"director, boss",156
Autobahn,die,"expressway, motorway",156
Batterie,die,battery,156
Chor,der,"choir, chorus",156
Design,das,design,156
Ehepaar,das,married couple,156
Chaos,das,chaos,156
Erholung,die,"recovery, relaxation, rest",156
Chip,der,"chip, crisp",156
Durchschnitt,der,average,156
Einbruch,der,"break in, collapse",156
Dolmetscher,der,interpreter,156
Eintritt,der,"entry, admission",156
Europäer,der,European,157
Germanistik,die,German studies,157
Geduld,die,patience,157
Haustür,die,frontdoor,157
Fabrik,die,factory,157
Gunst,die,"goodwill, favour",157
Innenminister,der,Minister of the Interior,157
General,der,general,157
Hypothese,die,hypothesis,157
Furcht,die,fear,157
Handwerker,der,"workman, tradesman",157
Gutachten,das,"report, reference",157
Gremium,das,committee,157
Glied,das,"limb, joint, link",157
Graf,der,"count, earl",157
Italiener,der,Italian,157
Islam,der,Islam,157
Gewehr,das,"rifle, shotgun",157
Getränk,das,"drink, beverage",157
Parkplatz,der,parking place,158
Konzeption,die,conception,158
Kommentar,der,"comment, opinion",158
Magazin,das,"magazine, storehouse",158
Kasten,der,"box, crate",158
Menschenrecht,das,human right,158
Maus,die,mouse,158
Mythos,der,"myth, legend",158
Minderheit,die,minority,158
Kassette,die,"cassette, tape",158
Mieter,der,tenant,158
Naturwissenschaft,die,natural science,158
Kreativität,die,creativity,158
Marktanteil,der,market share,158
Ministerium,das,"ministry, department",158
Militär,das,military,158
Regierungschef,der,head of government,159
Spezialist,der,specialist,159
Präparat,das,"preparation, medication",159
Übersicht,die,overview (not Überblick),159
Stellvertreter,der,deputy,159
Ticket,das,ticket,159
Provinz,die,province,159
Rahmenbedingung,die,basic condition,159
Scheidung,die,divorce,159
Schönheit,die,beauty,159
Partnerschaft,die,partnership,159
Periode,die,period,159
Tunnel,der,tunnel,159
Subvention,die,subsidy,159
Steigerung,die,increase,159
Säule,die,"column, pillar",159
Vorlesung,die,lecture (not Vortrag),160
Uniform,die,uniform,160
Weiterbildung,die,continuing education,160
Unrecht,das,"injustice, wrong",160
Zielsetzung,die,"target, objective",160
Zucker,der,sugar,160
Volkswirtschaft,die,national economy,160
Block,der,block,161
Assistent,der,assistant,161
Apfel,der,apple,161
Auswertung,die,"evaluation, analysis",161
Abkommen,das,agreement,161
Beschränkung,die,restriction,161
Absolvent,der,graduate,161
Abwehr,die,defence,161
Arbeitskraft,die,"work capacity, worker",161
Bar,die,bar,161
Bekämpfung,die,"fighting, controlling",161
Bedrohung,die,threat,161
Fakt,der/das,fact,162
Frequenz,die,frequency,162
Fachbereich,der,"(academic) department, field",162
Frucht,die,fruit,162
Datum,das,date,162
Erzähler,der,"storyteller, narrator",162
Fassung,die,"version, composure, frame, socket",162
Flügel,der,wing,162
Fachleute,die,experts,162
Forum,das,"forum, audience, public discussion",162
Darlehen,das,loan,162
Erhaltung,die,"preservation, maintenance",162
Missbrauch,der,"abuse, misuse",163
Metall,das,metal,163
Motivation,die,motivation,163
Gipfel,der,"peak, summit",163
Indianer,der,American Indian,163
Hörer,der,"listener, receiver",163
Linse,die,(eye) lens,163
Jahreszeit,die,season,163
Gerechtigkeit,die,justice,163
Großteil,der,"large part, majority",163
Industrieland,das,industrial country,163
Lücke,die,gap,163
Jagd,die,"hunt, chase",163
Jacke,die,jacket,163
Lampe,die,lamp,163
Therapeut,der,therapist,164
Option,die,option,164
Respekt,der,respect,164
Rose,die,rose,164
Rucksack,der,"rucksack, backpack",164
Reichweite,die,"reach, range",164
Sozialdemokrat,der,Social Democrat,164
Ordner,der,"file, folder",164
Tablette,die,"tablet, pill",164
Tageszeitung,die,daily newspaper,164
Pistole,die,pistol,164
Reparatur,die,repair,164
Physiker,der,physicist,164
Sänger,der,singer,164
Ozean,der,ocean,164
Verknüpfung,die,"combination, link",165
Abfall,der,"waste, trash",165
Zuwachs,der,increase,165
Währung,die,currency,165
Vorfeld,das,advance,165
Akte,die,file,165
Umzug,der,"move, parade",165
Vorgänger,der,predecessor,165
Weltmeister,der,world champion,165
Veranstalter,der,organizer,165
Wut,die,"rage, fury",165
Zuordnung,die,"classification, assignment",165
Aufsichtsrat,der,supervisory board,166
Gemeinderat,der,district council,166
Anleihe,die,"loan, bond, borrowing",166
Einblick,der,insight (not Einsicht),166
Arbeitszeit,die,working hours,166
Fahne,die,flag,166
Erfassung,die,"recording, entry",166
Feier,die,celebration,166
Beachtung,die,"attention, consideration",166
Araber,der,Arab,166
Diplom,das,"degree, diploma",166
Ausgangspunkt,der,starting point,166
Fassade,die,"facade, front",166
Frühling,der,spring (not Frühjahr),166
Ausweis,der,identity card,166
Fakultät,die,faculty,166
Engel,der,angel,166
Ausrichtung,die,"orientation, organization",166
Koch,der,cook,167
Laune,die,mood,167
Kerze,die,candle,167
Nahrungsmittel,das,food,167
Landesregierung,die,state government,167
Koralle,die,coral,167
Krankenkasse,die,health insurance company,167
Gewebe,das,"fabric, tissue",167
Prinz,der,prince,167
Kommune,die,"municipality, local authority",167
Jurist,der,"jurist, law student",167
Gruß,der,greeting,167
Niederländisch,das,Dutch (language),167
Kunststoff,der,"synthetic material, plastic",167
Philosoph,der,philosopher,167
Riff,das,reef,168
Schwein,das,pig,168
Verbindlichkeit,die,"obligation, liability, reliability",168
Spruch,der,"saying, slogan",168
Stellungnahme,die,"opinion, statement",168
Relation,die,"relation, appropriateness, proportion",168
Profil,das,profile,168
Schlange,die,"snake, line",168
Selbstständigkeit,die,independence,168
Siedlung,die,"settlement, housing development",168
Strahl,der,"ray, beam",168
Strömung,die,"current, trend",168
Weib,das,woman (derogatory),169
Volumen,das,"volume, total amount",169
Bestandteil,der,component,169
Zuhörer,der,"listener, audience",169
Vitamin,das,vitamin,169
Zugriff,der,access (not Zugang),169
Ermittlung,die,investigation,169
